2025/02/05,15:41:50,Idioma utilizado,0,
2025/02/05,15:41:59,Litografía seleccionada,1,
2025/02/05,15:41:59,Idioma utilizado,0,
2025/02/05,15:42:02,Intento de compra de litografía,1,
2025/02/05,15:42:13,Litografía seleccionada,2,
2025/02/05,15:42:13,Idioma utilizado,1,
2025/02/05,15:42:20,Intento de compra de litografía,2,
2025/02/05,15:42:27,Litografía seleccionada,2,
2025/02/05,15:42:27,Idioma utilizado,1,
2025/02/05,15:44:08,Programa iniciado correctamente,,
2025/02/05,15:44:12,Error during code execution: LabelStart.text accept only str,,
2025/02/05,15:44:12,Pantalla desbloqueada,,
2025/02/05,15:46:42,Programa iniciado correctamente,,
2025/02/05,15:46:47,Error during code execution: LabelStart.text accept only str,,
2025/02/05,15:46:47,Pantalla desbloqueada,,
2025/02/05,15:48:38,Programa iniciado correctamente,,
2025/02/05,15:48:40,Error during code execution: 'MainScreen' object has no attribute 'lbl_sold_out_message',,
2025/02/05,15:48:40,Pantalla desbloqueada,,
2025/02/05,15:49:02,Programa iniciado correctamente,,
2025/02/05,15:49:04,Pantalla desbloqueada,,
2025/02/05,15:49:09,Litografía seleccionada,0,
2025/02/05,15:49:09,Idioma utilizado,0,
2025/02/05,15:49:19,Litografía seleccionada,8,
2025/02/05,15:49:19,Idioma utilizado,1,
2025/02/05,15:49:21,Intento de compra de litografía,8,
2025/02/05,15:51:45,Programa iniciado correctamente,,
2025/02/05,15:51:47,Pantalla desbloqueada,,
2025/02/05,15:53:08,Programa iniciado correctamente,,
2025/02/05,15:53:11,Pantalla desbloqueada,,
2025/02/05,15:53:20,Litografía seleccionada,1,
2025/02/05,15:53:20,Idioma utilizado,1,
2025/02/05,15:53:28,Litografía seleccionada,3,
2025/02/05,15:53:28,Idioma utilizado,1,
2025/02/05,15:56:46,Programa iniciado correctamente,,
2025/02/05,15:56:52,Error during code execution: LabelStart.text accept only str,,
2025/02/05,15:56:52,Pantalla desbloqueada,,
2025/02/05,15:58:15,Programa iniciado correctamente,,
2025/02/05,15:58:22,Error during code execution: LabelStart.text accept only str,,
2025/02/05,15:58:22,Pantalla desbloqueada,,
2025/02/05,15:59:14,Programa iniciado correctamente,,
2025/02/05,15:59:16,Error during code execution: 'MainScreen' object has no attribute 'lbl_languages',,
2025/02/05,15:59:16,Error during code execution: LabelStart.text accept only str,,
2025/02/05,15:59:16,Pantalla desbloqueada,,
2025/02/05,15:59:54,Programa iniciado correctamente,,
2025/02/05,15:59:56,Pantalla desbloqueada,,
2025/02/05,16:00:00,Litografía seleccionada,0,
2025/02/05,16:00:00,Idioma utilizado,0,
2025/02/05,16:00:13,Litografía seleccionada,2,
2025/02/05,16:00:13,Idioma utilizado,1,
2025/02/05,17:14:10,Program started correctly,,
2025/02/05,17:14:13,Pantalla desbloqueada,,
2025/02/05,17:14:17,Litografía seleccionada,0,
2025/02/05,17:14:17,Idioma utilizado,0,
2025/02/05,17:14:22,Litografía seleccionada,3,
2025/02/05,17:14:22,Idioma utilizado,0,
2025/02/05,18:56:09,Program started correctly,,
2025/02/05,18:56:12,Pantalla desbloqueada,,
2025/02/05,18:56:32,Litografía seleccionada,9,
2025/02/05,18:56:32,Idioma utilizado,1,
2025/02/05,18:56:35,Intento de compra de litografía,9,
2025/02/05,18:56:44,Litografía seleccionada,9,
2025/02/05,18:56:44,Idioma utilizado,1,
2025/02/05,18:58:27,Program started correctly,,
2025/02/05,18:58:32,Pantalla desbloqueada,,
2025/02/05,19:09:58,Program started correctly,,
2025/02/05,19:10:05,Pantalla desbloqueada,,
2025/02/05,19:10:12,Litografía seleccionada,6,
2025/02/05,19:10:12,Idioma utilizado,1,
2025/02/05,19:10:20,Litografía seleccionada,4,
2025/02/05,19:10:20,Idioma utilizado,1,
2025/02/05,19:10:28,Intento de compra de litografía,4,
2025/02/05,19:10:35,Compra de litografía completada,4,
